Bandit,Reward,Algorithm
3,4.301363879367261,Epsilon Greedy
3,4.543741197504387,Epsilon Greedy
3,3.7340265873551943,Epsilon Greedy
3,4.777643126210848,Epsilon Greedy
3,3.1539629343160414,Epsilon Greedy
3,3.9535849427403136,Epsilon Greedy
3,3.0707640361160498,Epsilon Greedy
3,3.8959291754146843,Epsilon Greedy
3,3.594753042498635,Epsilon Greedy
3,4.493549289772214,Epsilon Greedy
3,5.645565609688795,Epsilon Greedy
3,3.8634634951648557,Epsilon Greedy
3,3.487450399094052,Epsilon Greedy
3,4.048782292336122,Epsilon Greedy
3,4.244721524621731,Epsilon Greedy
3,4.278274565810964,Epsilon Greedy
3,3.294224842866137,Epsilon Greedy
3,4.712321485169315,Epsilon Greedy
3,5.1998389668073175,Epsilon Greedy
3,4.737123102699323,Epsilon Greedy
3,2.9006453950808946,Epsilon Greedy
3,3.0929727800021807,Epsilon Greedy
3,3.778389730030664,Epsilon Greedy
3,2.4275467832192037,Epsilon Greedy
3,3.4181734539612316,Epsilon Greedy
3,5.2823392927501605,Epsilon Greedy
3,2.758152287367222,Epsilon Greedy
3,4.47754877467099,Epsilon Greedy
3,3.6982796709799928,Epsilon Greedy
3,5.010639602267291,Epsilon Greedy
3,4.334942889931543,Epsilon Greedy
3,3.057801233785255,Epsilon Greedy
3,3.481971572807628,Epsilon Greedy
3,4.11835387609951,Epsilon Greedy
3,3.7096086325323316,Epsilon Greedy
3,4.099583673397786,Epsilon Greedy
3,4.3759782156549285,Epsilon Greedy
3,3.39656809416235,Epsilon Greedy
3,4.298028550594134,Epsilon Greedy
3,3.866094247391054,Epsilon Greedy
3,4.198919394630607,Epsilon Greedy
3,4.205825167044313,Epsilon Greedy
3,3.4169409262243073,Epsilon Greedy
3,3.309003186834737,Epsilon Greedy
3,3.7893990015768253,Epsilon Greedy
3,3.542073700787866,Epsilon Greedy
3,4.0685345011417615,Epsilon Greedy
3,3.680333145523518,Epsilon Greedy
3,3.3992396281735373,Epsilon Greedy
3,5.1649045181175435,Epsilon Greedy
